Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,243.22000122070312,248.85000610351562,240.0500030517578,245.4199981689453,242.47132873535156,1952200
2024-01-03,245.82000732421875,246.27000427246094,240.10000610351562,240.47000122070312,237.58079528808594,1842100
2024-01-04,240.75,243.44000244140625,240.50999450683594,242.91000366210938,239.99148559570312,1302300
2024-01-05,241.82000732421875,243.8699951171875,241.02999877929688,242.08999633789062,239.1813201904297,989800
2024-01-08,242.69000244140625,248.64999389648438,242.24000549316406,247.72999572753906,244.75357055664062,1610700
2024-01-09,247.17999267578125,249.88999938964844,237.52999877929688,237.83999633789062,234.98239135742188,2693800
2024-01-10,237.97999572753906,239.72000122070312,232.6999969482422,238.41000366210938,235.54556274414062,2205000
2024-01-11,238.22000122070312,238.89999389648438,234.27999877929688,235.00999450683594,232.18638610839844,1887600
2024-01-12,236.5399932861328,238.05999755859375,234.97000122070312,236.27000427246094,233.43125915527344,1363300
2024-01-16,235.05999755859375,237.5800018310547,232.74000549316406,235.0,232.176513671875,1585900
2024-01-17,233.8699951171875,236.77999877929688,233.0,234.3000030517578,231.48492431640625,1018000
2024-01-18,234.17999267578125,236.3300018310547,233.27999877929688,235.0,232.176513671875,1210800
2024-01-19,235.22000122070312,236.1199951171875,233.3800048828125,235.88999938964844,233.05581665039062,1255500
2024-01-22,237.0,239.1199951171875,235.4600067138672,235.88999938964844,233.05581665039062,909700
2024-01-23,236.17999267578125,238.3300018310547,235.89999389648438,238.3000030517578,235.43685913085938,1219200
2024-01-24,237.97000122070312,239.2100067138672,234.50999450683594,234.57000732421875,231.75167846679688,1317900
2024-01-25,235.6999969482422,236.75,233.86000061035156,236.57000732421875,233.7276611328125,841000
2024-01-26,237.8000030517578,238.75999450683594,235.47000122070312,236.64999389648438,233.8066864013672,892200
2024-01-29,236.32000732421875,237.97999572753906,235.80999755859375,237.85000610351562,234.99227905273438,1084000
2024-01-30,238.5,238.94000244140625,236.11000061035156,236.2100067138672,233.3719940185547,1485700
2024-01-31,237.9600067138672,241.14999389648438,236.8000030517578,238.80999755859375,235.94073486328125,2355700
2024-02-01,237.5,242.35000610351562,233.13999938964844,242.35000610351562,239.438232421875,3146300
2024-02-02,244.6699981689453,246.3000030517578,236.7100067138672,237.19000244140625,234.3402099609375,1724300
